"Age group","Background","2011 Basic education Males","2011 Basic education Females","2011 Upper secondary education Males","2011 Upper secondary education Females","2011 Tertiary education Males","2011 Tertiary education Females","2011 Unknown Males","2011 Unknown Females","2021 Basic education Males","2021 Basic education Females","2021 Upper secondary education Males","2021 Upper secondary education Females","2021 Tertiary education Males","2021 Tertiary education Females","2021 Unknown Males","2021 Unknown Females"
"16-24 years","Natives",13728,11012,6059,7191,329,525,..,..,12071,9422,6035,7502,444,655,1,..
"16-24 years","Immigrants",874,913,527,678,89,115,..,..,1717,1371,824,1151,98,135,7,12
"25-34 years","Natives",6386,3596,7127,5964,4924,7962,..,..,5903,2846,8146,6265,5794,9337,..,..
"25-34 years","Immigrants",995,1010,1923,1773,735,1218,..,..,3820,2099,2776,2278,2355,2894,16,15
"35-44 years","Natives",5678,3995,6736,4848,5666,8848,..,..,4887,2470,6315,4324,7143,10970,..,..
"35-44 years","Immigrants",879,968,1280,973,586,886,..,..,2119,1367,3321,2033,1892,2390,15,8
"45-54 years","Natives",5468,5953,9307,6621,4920,7109,..,..,5014,3502,6661,4719,6416,9660,..,..
"45-54 years","Immigrants",581,827,781,618,287,452,..,..,1480,1273,2196,1410,930,1189,4,5
"55-64 years","Natives",4479,7576,8485,5083,3975,3934,..,..,4822,5595,8923,6276,5191,7178,..,1
"55-64 years","Immigrants",247,357,373,268,194,197,..,..,747,952,1053,661,375,507,2,1
"65 years and over","Natives",6402,15366,9237,4060,2639,1548,..,..,6977,15457,12779,6890,5386,4649,1,1
"65 years and over","Immigrants",142,332,139,219,83,115,..,..,268,511,365,384,231,283,2,2
